Execution Time (sec),Model
-1,"ARIMA(1,0,1)"
-1,"ARIMA(1,0,3)"
-1,"ARIMA(1,1,2)"
-1,"ARIMA(1,1,3)"
-1,"ARIMA(1,2,1)"
-1,"ARIMA(1,2,2)"
-1,"ARIMA(1,2,3)"
-1,"ARIMA(1,3,0)"
-1,"ARIMA(1,3,1)"
-1,"ARIMA(1,3,2)"
-1,"ARIMA(1,3,3)"
-1,"ARIMA(2,0,1)"
-1,"ARIMA(2,0,2)"
-1,"ARIMA(2,0,3)"
-1,"ARIMA(2,1,2)"
-1,"ARIMA(2,1,3)"
-1,"ARIMA(2,2,1)"
-1,"ARIMA(2,2,2)"
-1,"ARIMA(2,2,3)"
-1,"ARIMA(2,3,0)"
-1,"ARIMA(2,3,1)"
-1,"ARIMA(2,3,2)"
-1,"ARIMA(2,3,3)"
-1,"ARIMA(3,0,1)"
-1,"ARIMA(3,0,2)"
-1,"ARIMA(3,0,3)"
-1,"ARIMA(3,1,2)"
-1,"ARIMA(3,1,3)"
-1,"ARIMA(3,2,1)"
-1,"ARIMA(3,2,2)"
-1,"ARIMA(3,2,3)"
-1,"ARIMA(3,3,0)"
-1,"ARIMA(3,3,1)"
-1,"ARIMA(3,3,2)"
-1,"ARIMA(3,3,3)"
-1,"ARIMA(4,0,1)"
-1,"ARIMA(4,0,2)"
-1,"ARIMA(4,0,3)"
-1,"ARIMA(4,1,2)"
-1,"ARIMA(4,1,3)"
-1,"ARIMA(4,2,2)"
-1,"ARIMA(4,2,3)"
-1,"ARIMA(4,3,0)"
-1,"ARIMA(4,3,1)"
-1,"ARIMA(4,3,2)"
-1,"ARIMA(4,3,3)"
-1,"ARIMA(5,0,1)"
-1,"ARIMA(5,0,2)"
-1,"ARIMA(5,0,3)"
-1,"ARIMA(5,1,2)"
-1,"ARIMA(5,1,3)"
-1,"ARIMA(5,2,1)"
-1,"ARIMA(5,2,2)"
-1,"ARIMA(5,2,3)"
-1,"ARIMA(5,3,0)"
-1,"ARIMA(5,3,1)"
-1,"ARIMA(5,3,2)"
-1,"ARIMA(5,3,3)"
0.662708044052124,"ARIMA(1,0,0)"
5.6007044315338135,"ARIMA(1,0,2)"
6.8667192459106445,"ARIMA(1,1,0)"
7.710704565048218,"ARIMA(1,1,1)"
8.60640573501587,"ARIMA(1,2,0)"
9.9977445602417,"ARIMA(2,0,0)"
11.493061542510986,"ARIMA(2,1,0)"
12.980062246322632,"ARIMA(2,1,1)"
14.256057262420654,"ARIMA(2,2,0)"
16.21530055999756,"ARIMA(3,0,0)"
17.832212686538696,"ARIMA(3,1,0)"
19.435211181640625,"ARIMA(3,1,1)"
23.051172018051147,"ARIMA(3,2,0)"
27.646246433258057,"ARIMA(4,0,0)"
33.456305265426636,"ARIMA(4,1,0)"
36.30524396896362,"ARIMA(4,1,1)"
41.84341073036194,"ARIMA(4,2,0)"
44.17657423019409,"ARIMA(4,2,1)"
51.98857235908508,"ARIMA(5,0,0)"
63.041714668273926,"ARIMA(5,1,0)"
72.58585834503174,"ARIMA(5,1,1)"
88.7106385231018,"ARIMA(5,2,0)"
