MAE,Model
-1,"ARIMA(1,0,1)"
-1,"ARIMA(1,0,3)"
-1,"ARIMA(1,1,2)"
-1,"ARIMA(1,1,3)"
-1,"ARIMA(1,2,1)"
-1,"ARIMA(1,2,2)"
-1,"ARIMA(1,2,3)"
-1,"ARIMA(1,3,0)"
-1,"ARIMA(1,3,1)"
-1,"ARIMA(1,3,2)"
-1,"ARIMA(1,3,3)"
-1,"ARIMA(2,0,1)"
-1,"ARIMA(2,0,2)"
-1,"ARIMA(2,0,3)"
-1,"ARIMA(2,1,2)"
-1,"ARIMA(2,1,3)"
-1,"ARIMA(2,2,1)"
-1,"ARIMA(2,2,2)"
-1,"ARIMA(2,2,3)"
-1,"ARIMA(2,3,0)"
-1,"ARIMA(2,3,1)"
-1,"ARIMA(2,3,2)"
-1,"ARIMA(2,3,3)"
-1,"ARIMA(3,0,1)"
-1,"ARIMA(3,0,2)"
-1,"ARIMA(3,0,3)"
-1,"ARIMA(3,1,2)"
-1,"ARIMA(3,1,3)"
-1,"ARIMA(3,2,1)"
-1,"ARIMA(3,2,2)"
-1,"ARIMA(3,2,3)"
-1,"ARIMA(3,3,0)"
-1,"ARIMA(3,3,1)"
-1,"ARIMA(3,3,2)"
-1,"ARIMA(3,3,3)"
-1,"ARIMA(4,0,1)"
-1,"ARIMA(4,0,2)"
-1,"ARIMA(4,0,3)"
-1,"ARIMA(4,1,2)"
-1,"ARIMA(4,1,3)"
-1,"ARIMA(4,2,2)"
-1,"ARIMA(4,2,3)"
-1,"ARIMA(4,3,0)"
-1,"ARIMA(4,3,1)"
-1,"ARIMA(4,3,2)"
-1,"ARIMA(4,3,3)"
-1,"ARIMA(5,0,1)"
-1,"ARIMA(5,0,2)"
-1,"ARIMA(5,0,3)"
-1,"ARIMA(5,1,2)"
-1,"ARIMA(5,1,3)"
-1,"ARIMA(5,2,1)"
-1,"ARIMA(5,2,2)"
-1,"ARIMA(5,2,3)"
-1,"ARIMA(5,3,0)"
-1,"ARIMA(5,3,1)"
-1,"ARIMA(5,3,2)"
-1,"ARIMA(5,3,3)"
53.012827759411,"ARIMA(4,2,1)"
61.14854937299216,"ARIMA(2,1,0)"
61.15027114308312,"ARIMA(3,1,0)"
61.363666852313266,"ARIMA(4,1,1)"
61.83206192632096,"ARIMA(4,1,0)"
62.20209568469478,"ARIMA(3,1,1)"
63.572582647427325,"ARIMA(5,1,0)"
64.82494175587003,"ARIMA(1,1,1)"
67.30472573228539,"ARIMA(5,1,1)"
68.76101949521086,"ARIMA(5,2,0)"
68.77189686738993,"ARIMA(2,1,1)"
70.2437172668035,"ARIMA(1,1,0)"
71.52419046938002,"ARIMA(1,0,2)"
72.75493650698438,"ARIMA(4,2,0)"
73.75473059318543,"ARIMA(5,0,0)"
76.03935757942392,"ARIMA(4,0,0)"
79.97639611662512,"ARIMA(3,0,0)"
82.88258972518224,"ARIMA(2,0,0)"
83.76155696466692,"ARIMA(3,2,0)"
88.74354300589621,"ARIMA(2,2,0)"
116.40106135549685,"ARIMA(1,2,0)"
132.58853024270744,"ARIMA(1,0,0)"
