Model,Execution Time (sec),MAE,MSE,RMSE
"ARIMA(1,0,1)",-1,-1,-1,-1
"ARIMA(1,0,3)",-1,-1,-1,-1
"ARIMA(1,1,2)",-1,-1,-1,-1
"ARIMA(1,1,3)",-1,-1,-1,-1
"ARIMA(1,2,1)",-1,-1,-1,-1
"ARIMA(1,2,2)",-1,-1,-1,-1
"ARIMA(1,2,3)",-1,-1,-1,-1
"ARIMA(1,3,0)",-1,-1,-1,-1
"ARIMA(1,3,1)",-1,-1,-1,-1
"ARIMA(1,3,2)",-1,-1,-1,-1
"ARIMA(1,3,3)",-1,-1,-1,-1
"ARIMA(2,0,1)",-1,-1,-1,-1
"ARIMA(2,0,2)",-1,-1,-1,-1
"ARIMA(2,0,3)",-1,-1,-1,-1
"ARIMA(2,1,2)",-1,-1,-1,-1
"ARIMA(2,1,3)",-1,-1,-1,-1
"ARIMA(2,2,1)",-1,-1,-1,-1
"ARIMA(2,2,2)",-1,-1,-1,-1
"ARIMA(2,2,3)",-1,-1,-1,-1
"ARIMA(2,3,0)",-1,-1,-1,-1
"ARIMA(2,3,1)",-1,-1,-1,-1
"ARIMA(2,3,2)",-1,-1,-1,-1
"ARIMA(2,3,3)",-1,-1,-1,-1
"ARIMA(3,0,1)",-1,-1,-1,-1
"ARIMA(3,0,2)",-1,-1,-1,-1
"ARIMA(3,0,3)",-1,-1,-1,-1
"ARIMA(3,1,2)",-1,-1,-1,-1
"ARIMA(3,1,3)",-1,-1,-1,-1
"ARIMA(3,2,1)",-1,-1,-1,-1
"ARIMA(3,2,2)",-1,-1,-1,-1
"ARIMA(3,2,3)",-1,-1,-1,-1
"ARIMA(3,3,0)",-1,-1,-1,-1
"ARIMA(3,3,1)",-1,-1,-1,-1
"ARIMA(3,3,2)",-1,-1,-1,-1
"ARIMA(3,3,3)",-1,-1,-1,-1
"ARIMA(4,0,1)",-1,-1,-1,-1
"ARIMA(4,0,2)",-1,-1,-1,-1
"ARIMA(4,0,3)",-1,-1,-1,-1
"ARIMA(4,1,2)",-1,-1,-1,-1
"ARIMA(4,1,3)",-1,-1,-1,-1
"ARIMA(4,2,2)",-1,-1,-1,-1
"ARIMA(4,2,3)",-1,-1,-1,-1
"ARIMA(4,3,0)",-1,-1,-1,-1
"ARIMA(4,3,1)",-1,-1,-1,-1
"ARIMA(4,3,2)",-1,-1,-1,-1
"ARIMA(4,3,3)",-1,-1,-1,-1
"ARIMA(5,0,1)",-1,-1,-1,-1
"ARIMA(5,0,2)",-1,-1,-1,-1
"ARIMA(5,0,3)",-1,-1,-1,-1
"ARIMA(5,1,2)",-1,-1,-1,-1
"ARIMA(5,1,3)",-1,-1,-1,-1
"ARIMA(5,2,1)",-1,-1,-1,-1
"ARIMA(5,2,2)",-1,-1,-1,-1
"ARIMA(5,2,3)",-1,-1,-1,-1
"ARIMA(5,3,0)",-1,-1,-1,-1
"ARIMA(5,3,1)",-1,-1,-1,-1
"ARIMA(5,3,2)",-1,-1,-1,-1
"ARIMA(5,3,3)",-1,-1,-1,-1
"ARIMA(4,2,1)",44.61618709564209,53.012827759411,4694.873590668744,68.5191476207107
"ARIMA(2,1,0)",12.26850175857544,61.14854937299216,5689.934738925184,75.43165607969365
"ARIMA(3,1,0)",18.605701684951782,61.15027114308312,6998.934293391663,83.65963359584875
"ARIMA(4,1,1)",36.879215717315674,61.363666852313266,6796.31251148459,82.43975079707963
"ARIMA(4,1,0)",33.963215589523315,61.83206192632096,6649.596514113206,81.54505818327193
"ARIMA(3,1,1)",19.960129499435425,62.20209568469478,7145.877568292679,84.53329266207888
"ARIMA(5,1,0)",63.06548023223877,63.572582647427325,6958.327831727841,83.41659206493539
"ARIMA(1,1,1)",8.316332340240479,64.82494175587003,7003.686293696476,83.68802957231384
"ARIMA(5,1,1)",72.3739583492279,67.30472573228539,7552.832908799765,86.90703601435136
"ARIMA(5,2,0)",86.96220707893372,68.76101949521086,6710.520802276364,81.91776853818934
"ARIMA(2,1,1)",13.621037483215332,68.77189686738993,7759.704918446897,88.08918729587019
"ARIMA(1,1,0)",7.506503582000732,70.2437172668035,7121.367932502782,84.38819782708232
"ARIMA(1,0,2)",6.187503814697266,71.52419046938002,7292.952333590063,85.39878414585341
"ARIMA(4,2,0)",42.445290088653564,72.75493650698438,7596.332014584895,87.15693899274397
"ARIMA(5,0,0)",52.93219327926636,73.75473059318543,9667.237083238026,98.32210882216688
"ARIMA(4,0,0)",28.32759952545166,76.03935757942392,9886.227436308054,99.42950988669337
"ARIMA(3,0,0)",16.918174982070923,79.97639611662512,9543.19694744725,97.68928778247516
"ARIMA(2,0,0)",10.719197273254395,82.88258972518224,10176.578564765388,100.87902936074171
"ARIMA(3,2,0)",23.604024410247803,83.76155696466692,10513.274544117818,102.53426034315466
"ARIMA(2,2,0)",14.745997428894043,88.74354300589621,9860.952810387265,99.30233033714399
"ARIMA(1,2,0)",9.115198135375977,116.40106135549685,18608.003453580975,136.41115589855903
"ARIMA(1,0,0)",1.193915843963623,132.58853024270744,23113.067908057677,152.02982571869796
