MSE,Model
4694.873590668744,"ARIMA(4,2,1)"
5689.934738925184,"ARIMA(2,1,0)"
6649.596514113206,"ARIMA(4,1,0)"
6710.520802276364,"ARIMA(5,2,0)"
6796.31251148459,"ARIMA(4,1,1)"
6958.327831727841,"ARIMA(5,1,0)"
6998.934293391663,"ARIMA(3,1,0)"
7003.686293696476,"ARIMA(1,1,1)"
7121.367932502782,"ARIMA(1,1,0)"
7145.877568292679,"ARIMA(3,1,1)"
7292.952333590063,"ARIMA(1,0,2)"
7552.832908799765,"ARIMA(5,1,1)"
7596.332014584895,"ARIMA(4,2,0)"
7759.704918446897,"ARIMA(2,1,1)"
9543.19694744725,"ARIMA(3,0,0)"
9667.237083238026,"ARIMA(5,0,0)"
9860.952810387265,"ARIMA(2,2,0)"
9886.227436308054,"ARIMA(4,0,0)"
10176.578564765388,"ARIMA(2,0,0)"
10513.274544117818,"ARIMA(3,2,0)"
18608.003453580975,"ARIMA(1,2,0)"
23113.067908057677,"ARIMA(1,0,0)"
