MSE,Model
4694.875443040916,"ARIMA(4,2,1)"
5689.923129428147,"ARIMA(2,1,0)"
6649.595360508636,"ARIMA(4,1,0)"
6710.513962783156,"ARIMA(5,2,0)"
6796.269890993207,"ARIMA(4,1,1)"
6958.329710648963,"ARIMA(5,1,0)"
6998.940599472292,"ARIMA(3,1,0)"
7003.683863945085,"ARIMA(1,1,1)"
7121.359861444784,"ARIMA(1,1,0)"
7145.876379278793,"ARIMA(3,1,1)"
7289.742015562956,"ARIMA(1,0,2)"
7596.324633755123,"ARIMA(4,2,0)"
7759.7058102624,"ARIMA(2,1,1)"
7848.13183382802,"ARIMA(5,1,1)"
9105.018105932946,"ARIMA(3,0,0)"
9510.118448439342,"ARIMA(5,0,0)"
9860.93322611934,"ARIMA(2,2,0)"
10176.597430427975,"ARIMA(2,0,0)"
10513.278940358212,"ARIMA(3,2,0)"
18608.012154473545,"ARIMA(1,2,0)"
23113.185843799958,"ARIMA(1,0,0)"
