date,wifi status,tablet status,phone status,temp,heating degree,cooling degree,precipitation,snowfall,snow/ice depth,census
01/01/2016,up,up,up,-6,43,0,0,0,0.01,4092
02/01/2016,up,up,up,2,29,0,0,0,0,3807
03/01/2016,up,up,up,2,29,0,0,0,0,3208
04/01/2016,up,up,up,-4,40,0,0,0,0,1057
05/01/2016,up,up,up,2,29,0,0,0,0,3302
06/01/2016,up,up,up,2,29,0,0,0,0,3761
07/01/2016,up,up,up,4,26.5,0,0,0,0,2964
08/01/2016,up,up,up,2,29,0,0,0,0,1392
09/01/2016,up,up,up,2,29,0,0,0,0,1848
10/01/2016,up,up,up,2,29,0,0,0,0,1044
11/01/2016,up,up,up,2,29,0,0,0,0,1715
12/01/2016,up,up,up,2,29,0,0,0,0,1958
13/01/2016,up,up,up,2,29,0,0,0,0,1188
14/01/2016,up,up,up,2,29,0,0,0,0,1657
15/01/2016,up,up,up,2,29,0,0,0,0,1159
16/01/2016,up,up,up,2,29,0,0,0,0,1707
17/01/2016,up,up,up,2,29,0,0,0,0,1139
18/01/2016,up,up,up,2,29,0,0,0,0,1393
19/01/2016,up,up,up,-6,43,0,0,0,0.01,1849
20/01/2016,up,up,up,2,29,0,0,0,0,1393
21/01/2016,up,up,up,2,29,0,0,0,0,1711
22/01/2016,up,up,up,2,29,0,0,0,0,1352
23/01/2016,up,up,up,2,29,0,0,0,0,1524
24/01/2016,up,up,up,2,29,0,0,0,0,1374
25/01/2016,up,up,up,2,29,0,0,0,0,1327
26/01/2016,up,up,up,6,22,0,0,0,17,1254
27/01/2016,up,up,up,5,24.5,0,1.00E-04,0,9,1804
28/01/2016,up,up,up,2,29,0,0,0,0,1523
29/01/2016,up,up,up,2,29,0,0,0,0,1985
30/01/2016,up,up,up,2,29,0,0,0,0,1972
31/01/2016,up,up,up,2,29,0,0,0,0,1718
01/02/2016,up,up,up,2,29,0,0,0,0,1128
02/02/2016,up,up,up,2,29,0,0,0,0,1022
03/02/2016,up,up,up,2,29,0,0,0,0,1859
04/02/2016,up,up,up,2,29,0,0,0,0,1430
05/02/2016,up,up,up,2,29,0,0,0,0,1667
06/02/2016,up,up,up,2,29,0,0,0,0,1083
07/02/2016,up,up,up,2,29,0,0,0,0,1170
08/02/2016,up,up,up,2,29,0,0,0,0,1506
09/02/2016,up,up,up,2,29,0,0,0,0,1505
10/02/2016,up,up,up,2,29,0,0,0,0,2119
11/02/2016,up,up,up,-4,40.5,0,1.00E-04,0.001,0,2295
12/02/2016,up,up,up,-6,44,0,0,0,0,2105
13/02/2016,up,up,up,2,29,0,0,0,0,1517
14/02/2016,up,up,up,2,29,0,0,0,0,2197
15/02/2016,up,up,up,2,29,0,0,0,0,1905
16/02/2016,up,up,up,2,29,0,0,0,0,2184
17/02/2016,up,up,up,2,29,0,0,0,0,1739
18/02/2016,up,up,up,2,29,0,0,0,0,2235
19/02/2016,up,up,up,0,33.5,0,0,0,0,1600
20/02/2016,up,up,up,2,29,0,0,0,0,1763
21/02/2016,up,up,up,2,29,0,0,0,0,1773
22/02/2016,up,up,up,7,20,0,0,0,0,2014
23/02/2016,up,up,up,2,29,0,0,0,0,1733
24/02/2016,up,up,up,2,29,0,0,0,0,1502
25/02/2016,up,up,up,2,29,0,0,0,0,1539
26/02/2016,up,up,up,2,29,0,0,0,0,1730
27/02/2016,up,up,up,2,29,0,0,0,0,2427
28/02/2016,up,up,up,9,16,0,0,0,0,2056
29/02/2016,up,up,up,12,11,0,0.05,0,0,1608
01/03/2016,up,up,up,2,29,0,0,0,0,2316
02/03/2016,up,up,up,2,29,0,0,0,0,1593
03/03/2016,up,up,up,2,29,0,0,0,0,1534
04/03/2016,up,up,up,2,29,0,0,0,0,1923
05/03/2016,up,up,up,2,29,0,0,0,0,1992
06/03/2016,up,up,up,2,29,0,0,0,0,2336
07/03/2016,up,up,up,2,29,0,0,0,0,1883
08/03/2016,up,up,up,14,8,0,0,0,0,1808
09/03/2016,up,up,up,2,29,0,0,0,0,2278
10/03/2016,up,up,up,2,29,0,0,0,0,2081
11/03/2016,up,up,up,2,29,0,0,0,0,1629
12/03/2016,up,up,up,2,29,0,0,0,0,1980
13/03/2016,up,up,up,2,29,0,0,0,0,2381
14/03/2016,up,up,up,2,29,0,0,0,0,1746
15/03/2016,up,up,up,10,14.5,0,0,0,0,1500
16/03/2016,up,up,up,14,8.5,0,0.02,0,0,1857
17/03/2016,up,up,up,2,29,0,0,0,0,1629
18/03/2016,up,up,up,10,15.5,0,0,0,0,2183
19/03/2016,up,up,up,2,29,0,0,0,0,1900
20/03/2016,up,up,up,2,29,0,0,0,0,1526
21/03/2016,up,up,up,5,24,0,0.06,0.5,0.01,2455
22/03/2016,up,up,up,8,19.5,0,0,0,0,1595
23/03/2016,up,up,up,15,5.5,0,0,0,0,1666
24/03/2016,up,up,up,10,15.5,0,0,0,0,1690
25/03/2016,up,up,up,2,29,0,0,0,0,1847
26/03/2016,up,up,up,2,29,0,0,0,0,1551
27/03/2016,up,up,up,2,29,0,0,0,0,1763
28/03/2016,up,up,up,11,13,0,0.38,0,0,1757
29/03/2016,up,up,up,8,18.5,0,0,0,0,1762
30/03/2016,up,up,up,8,18.5,0,0,0,0,2441
31/03/2016,up,up,up,16,4,0,0,0,0,1644
01/04/2016,up,up,up,2,29,0,0,0,0,2498
02/04/2016,up,up,up,2,29,0,0,0,0,1780
03/04/2016,up,up,up,2,29,0,0,0,0,2342
04/04/2016,up,up,up,3,28,0,0.47,0.001,0,2359
05/04/2016,up,up,up,1,30.5,0,0,0,0,2138
06/04/2016,up,up,up,2,29,0,0,0,0,2222
07/04/2016,up,up,up,2,29,0,0,0,0,1848
08/04/2016,up,up,up,7,20,0,0.01,0,0,1530
09/04/2016,up,up,up,2,29,0,0,0,0,2105
10/04/2016,up,up,up,2,29,0,0,0,0,1619
11/04/2016,up,up,up,2,29,0,0,0,0,2242
12/04/2016,up,up,up,2,29,0,0,0,0,1822
13/04/2016,up,up,up,2,29,0,0,0,0,2181
14/04/2016,up,up,up,2,29,0,0,0,0,2433
15/04/2016,up,up,up,12,11.5,0,0,0,0,2104
16/04/2016,up,up,up,2,29,0,0,0,0,1881
17/04/2016,up,up,up,2,29,0,0,0,0,1558
18/04/2016,up,up,up,2,29,0,0,0,0,1917
19/04/2016,up,up,up,2,29,0,0,0,0,2446
20/04/2016,up,up,up,2,29,0,0,0,0,1694
21/04/2016,up,up,up,2,29,0,0,0,0,1998
22/04/2016,up,up,up,21,0,5.5,1.00E-04,0,0,1687
23/04/2016,up,up,up,2,29,0,0,0,0,2386
24/04/2016,up,up,up,2,29,0,0,0,0,1966
25/04/2016,up,up,up,15,5.5,0,0,0,0,2422
26/04/2016,up,up,up,2,29,0,0,0,0,1700
27/04/2016,up,up,up,12,11,0,0,0,0,2456
28/04/2016,up,up,up,2,29,0,0,0,0,1902
29/04/2016,up,up,up,2,29,0,0,0,0,2377
30/04/2016,up,up,up,2,29,0,0,0,0,2328
01/05/2016,up,up,up,2,29,0,0,0,0,1788
02/05/2016,up,up,up,2,29,0,0,0,0,1532
03/05/2016,up,up,up,2,29,0,0,0,0,2162
04/05/2016,up,up,up,2,29,0,0,0,0,1789
05/05/2016,up,up,up,11,13.5,0,0,0,0,2448
06/05/2016,up,up,up,2,29,0,0,0,0,1705
07/05/2016,up,up,up,2,29,0,0,0,0,1829
08/05/2016,up,up,up,14,7.5,0,0.16,0,0,1555
09/05/2016,up,up,up,2,29,0,0,0,0,2430
10/05/2016,up,up,up,2,29,0,0,0,0,2341
11/05/2016,up,up,up,2,29,0,0,0,0,1814
12/05/2016,up,up,up,20,0,3,0,0,0,1966
13/05/2016,up,up,up,2,29,0,0,0,0,1977
14/05/2016,up,up,up,2,29,0,0,0,0,2162
15/05/2016,up,up,up,2,29,0,0,0,0,2030
16/05/2016,up,up,up,12,10.5,0,0,0,0,2028
17/05/2016,up,up,up,14,7,0,1.00E-04,0,0,1579
18/05/2016,up,up,up,2,29,0,0,0,0,2424
19/05/2016,up,up,up,18,1.5,0,0,0,0,2346
20/05/2016,up,up,up,18,0.5,0,0,0,0,1803
21/05/2016,up,up,up,2,29,0,0,0,0,1501
22/05/2016,up,up,up,2,29,0,0,0,0,2363
23/05/2016,up,up,up,2,29,0,0,0,0,1825
24/05/2016,up,up,up,19,0,0.5,0.18,0,0,1535
25/05/2016,up,up,up,24,0,9.5,0,0,0,1534
26/05/2016,up,up,up,26,0,14.5,0,0,0,1703
27/05/2016,up,up,up,2,29,0,0,0,0,2041
28/05/2016,up,up,up,2,29,0,0,0,0,2018
29/05/2016,up,up,up,2,29,0,0,0,0,2227
30/05/2016,up,up,up,2,29,0,0,0,0,2256
31/05/2016,up,up,up,2,29,0,0,0,0,1654
01/06/2016,up,up,up,2,29,0,0,0,0,1658
02/06/2016,up,up,up,2,29,0,0,0,0,2100
03/06/2016,up,up,up,2,29,0,0,0,0,2342
04/06/2016,up,up,up,24,0,9.5,0.4,0,0,2428
05/06/2016,up,up,up,2,29,0,0,0,0,2014
06/06/2016,up,up,up,2,29,0,0,0,0,2482
07/06/2016,up,up,up,24,0,9.5,1.00E-04,0,0,2298
08/06/2016,up,up,up,2,29,0,0,0,0,2225
09/06/2016,up,up,up,17,2.5,0,0,0,0,2445
10/06/2016,up,up,up,2,29,0,0,0,0,2237
11/06/2016,up,up,up,2,29,0,0,0,0,1508
12/06/2016,up,up,up,2,29,0,0,0,0,2454
13/06/2016,up,up,up,2,29,0,0,0,0,2264
14/06/2016,up,up,up,2,29,0,0,0,0,1823
15/06/2016,up,up,up,23,0,8.5,0,0,0,1518
16/06/2016,up,up,up,2,29,0,0,0,0,2437
17/06/2016,up,up,up,2,29,0,0,0,0,1740
18/06/2016,up,up,up,2,29,0,0,0,0,2418
19/06/2016,up,up,up,2,29,0,0,0,0,2008
20/06/2016,up,up,up,2,29,0,0,0,0,2071
21/06/2016,up,up,up,2,29,0,0,0,0,1684
22/06/2016,up,up,up,25,0,12,0,0,0,1787
23/06/2016,up,up,up,2,29,0,0,0,0,1851
24/06/2016,up,up,up,24,0,10.5,0,0,0,2372
25/06/2016,up,up,up,2,29,0,0,0,0,2484
26/06/2016,up,up,up,2,29,0,0,0,0,1589
27/06/2016,up,up,up,24,0,10,0.45,0,0,2177
28/06/2016,up,up,up,2,29,0,0,0,0,2239
29/06/2016,up,up,up,24,0,10,0.01,0,0,2273
30/06/2016,up,up,up,2,29,0,0,0,0,1624
01/07/2016,up,up,up,2,29,0,0,0,0,1897
02/07/2016,up,up,up,2,29,0,0,0,0,2268
03/07/2016,up,up,up,22,0,6,0,0,0,2044
04/07/2016,up,up,up,24,0,10,0.49,0,0,1965
05/07/2016,up,up,up,2,29,0,0,0,0,2277
06/07/2016,up,up,up,2,29,0,0,0,0,2444
07/07/2016,up,up,up,28,0,18,0.04,0,0,2300
08/07/2016,up,up,up,2,29,0,0,0,0,1597
09/07/2016,up,up,up,2,29,0,0,0,0,1813
10/07/2016,up,up,up,23,0,8,1.00E-04,0,0,2306
11/07/2016,up,up,up,23,0,8,0,0,0,1517
12/07/2016,up,up,up,2,29,0,0,0,0,3933
13/07/2016,up,up,up,26,0,13,0,0,0,1346
14/07/2016,up,up,up,27,0,15.5,0.62,0,0,906
15/07/2016,up,up,up,29,0,18.5,0,0,0,907
16/07/2016,up,up,up,2,29,0,0,0,0,3749
17/07/2016,up,up,up,2,29,0,0,0,0,3292
18/07/2016,up,up,up,28,0,17.5,0.35,0,0,1183
19/07/2016,up,up,up,26,0,13,0,0,0,1172
20/07/2016,up,up,up,25,0,11.5,0,0,0,896
21/07/2016,up,up,up,27,0,15.5,0,0,0,1335
22/07/2016,up,up,up,2,29,0,0,0,0,3832
23/07/2016,up,up,up,2,29,0,0,0,0,3471
24/07/2016,up,up,up,2,29,0,0,0,0,3461
25/07/2016,up,up,up,2,29,0,0,0,0,3462
26/07/2016,up,up,up,2,29,0,0,0,0,3436
27/07/2016,up,up,up,2,29,0,0,0,0,3401
28/07/2016,up,up,up,2,29,0,0,0,0,3452
29/07/2016,up,up,up,25,0,12,1.09,0,0,3466
30/07/2016,up,up,up,2,29,0,0,0,0,3439
31/07/2016,up,up,up,2,29,0,0,0,0,3485
01/08/2016,up,up,up,2,29,0,0,0,0,3480
02/08/2016,up,up,up,2,29,0,0,0,0,3490
03/08/2016,up,up,up,23,0,8,0,0,0,3402
04/08/2016,up,up,up,2,29,0,0,0,0,3441
05/08/2016,up,up,up,2,29,0,0,0,0,3395
06/08/2016,up,up,up,2,29,0,0,0,0,3485
