Model,Execution Time (sec),MAE,MSE,RMSE
"Census_arima(1,0,2)_predictions_20",-1,-1,-1,-1
"Census_arima(1,0,3)_predictions_20",-1,-1,-1,-1
"Census_arima(1,2,1)_predictions_20",-1,-1,-1,-1
"Census_arima(1,2,2)_predictions_20",-1,-1,-1,-1
"Census_arima(1,2,3)_predictions_20",-1,-1,-1,-1
"Census_arima(1,3,0)_predictions_20",-1,-1,-1,-1
"Census_arima(1,3,1)_predictions_20",-1,-1,-1,-1
"Census_arima(1,3,2)_predictions_20",-1,-1,-1,-1
"Census_arima(1,3,3)_predictions_20",-1,-1,-1,-1
"Census_arima(2,0,3)_predictions_20",-1,-1,-1,-1
"Census_arima(2,2,1)_predictions_20",-1,-1,-1,-1
"Census_arima(2,2,2)_predictions_20",-1,-1,-1,-1
"Census_arima(2,2,3)_predictions_20",-1,-1,-1,-1
"Census_arima(2,3,0)_predictions_20",-1,-1,-1,-1
"Census_arima(2,3,1)_predictions_20",-1,-1,-1,-1
"Census_arima(2,3,2)_predictions_20",-1,-1,-1,-1
"Census_arima(2,3,3)_predictions_20",-1,-1,-1,-1
"Census_arima(3,2,1)_predictions_20",-1,-1,-1,-1
"Census_arima(3,2,2)_predictions_20",-1,-1,-1,-1
"Census_arima(3,2,3)_predictions_20",-1,-1,-1,-1
"Census_arima(3,3,0)_predictions_20",-1,-1,-1,-1
"Census_arima(3,3,1)_predictions_20",-1,-1,-1,-1
"Census_arima(3,3,2)_predictions_20",-1,-1,-1,-1
"Census_arima(3,3,3)_predictions_20",-1,-1,-1,-1
"Census_arima(4,2,1)_predictions_20",-1,-1,-1,-1
"Census_arima(4,2,2)_predictions_20",-1,-1,-1,-1
"Census_arima(4,2,3)_predictions_20",-1,-1,-1,-1
"Census_arima(4,3,0)_predictions_20",-1,-1,-1,-1
"Census_arima(4,3,1)_predictions_20",-1,-1,-1,-1
"Census_arima(4,3,2)_predictions_20",-1,-1,-1,-1
"Census_arima(4,3,3)_predictions_20",-1,-1,-1,-1
"Census_arima(5,2,1)_predictions_20",-1,-1,-1,-1
"Census_arima(5,2,2)_predictions_20",-1,-1,-1,-1
"Census_arima(5,2,3)_predictions_20",-1,-1,-1,-1
"Census_arima(5,3,0)_predictions_20",-1,-1,-1,-1
"Census_arima(5,3,1)_predictions_20",-1,-1,-1,-1
"Census_arima(5,3,2)_predictions_20",-1,-1,-1,-1
"Census_arima(5,3,3)_predictions_20",-1,-1,-1,-1
"Census_arima(1,2,0)_predictions_20",1.298551082611084,431.4058281994794,294362.5316925172,542.5518700479404
"Census_arima(3,2,0)_predictions_20",4.367724418640137,436.2527892941756,327546.80919104733,572.3170530318378
"Census_arima(2,2,0)_predictions_20",2.169318914413452,470.73536627219164,339518.96987558715,582.6825635589134
"Census_arima(4,2,0)_predictions_20",8.879279136657715,463.6572887631079,397280.74748587905,630.3021081083888
"Census_arima(5,2,0)_predictions_20",11.905669450759888,481.2747052602357,463843.7919440161,681.0607843239957
"Census_arima(1,1,0)_predictions_20",1.274745225906372,450.17960473297154,464377.9889890727,681.4528516259013
"Census_arima(2,1,0)_predictions_20",1.7512099742889404,503.73825461526695,602895.8052421575,776.4636535229176
"Census_arima(3,1,0)_predictions_20",2.4909420013427734,527.6657982886583,685591.9910221655,828.0048254824156
"Census_arima(4,1,0)_predictions_20",4.5338215827941895,568.7567082572189,782495.5391608871,884.58777922877
"Census_arima(5,1,0)_predictions_20",8.128803968429565,604.0618996267932,849665.693992689,921.7731250110783
"Census_arima(5,0,0)_predictions_20",6.972428321838379,681.795763486178,923088.7590305976,960.7750824363617
"Census_arima(4,0,0)_predictions_20",5.267898797988892,685.9369381109871,926131.0449920483,962.3570257404724
"Census_arima(3,0,0)_predictions_20",3.086743116378784,701.5170222694735,944913.0928213429,972.0664035040728
"Census_arima(4,0,3)_predictions_20",37.82223677635193,674.819958042708,975166.6486516967,987.5052651260634
"Census_arima(3,0,2)_predictions_20",18.217151880264282,673.5771848445553,980266.863724896,990.0842710218641
"Census_arima(5,0,3)_predictions_20",64.73630237579346,673.593428693569,982046.8802970682,990.9827850659507
"Census_arima(2,0,0)_predictions_20",1.4437928199768066,722.2285914511582,988194.4273058284,994.0796886094336
"Census_arima(5,1,3)_predictions_20",364.4316029548645,705.480551210861,988636.8298385026,994.3021823563008
"Census_arima(1,0,0)_predictions_20",1.7944934368133545,732.6154806639479,1006623.1806533516,1003.3061250951035
"Census_arima(5,0,1)_predictions_20",18.346985816955566,682.8714905163515,1012673.0187431544,1006.3165599070476
"Census_arima(5,0,2)_predictions_20",19.275758028030396,688.2020361463068,1026596.013655091,1013.2107449366548
"Census_arima(1,1,3)_predictions_20",34.66775417327881,704.756503526674,1030607.5259101365,1015.1884189204172
"Census_arima(3,1,3)_predictions_20",136.66097259521484,709.7455052722459,1030804.8364259895,1015.2855935282395
"Census_arima(3,0,1)_predictions_20",10.230188131332397,688.3208590495185,1031555.4428283941,1015.6551790979033
"Census_arima(2,1,2)_predictions_20",27.098966121673584,704.7713532074295,1033963.5635942612,1016.8399891793503
"Census_arima(3,0,3)_predictions_20",67.56765294075012,701.7067797724048,1035551.9719727946,1017.6207407343832
"Census_arima(2,1,3)_predictions_20",48.74112343788147,707.8656641663258,1037311.2549532488,1018.484783859459
"Census_arima(1,0,1)_predictions_20",7.345520734786987,680.7705967309112,1037527.6368328098,1018.5910056704848
"Census_arima(4,0,2)_predictions_20",28.04923677444458,694.1055987935314,1039504.3632047649,1019.5608678273038
"Census_arima(5,1,1)_predictions_20",46.09549379348755,720.8621184336392,1048952.0901476839,1024.1836213041506
"Census_arima(4,1,3)_predictions_20",89.1042697429657,713.5799080571873,1054841.0061816562,1027.0545293126631
"Census_arima(5,1,2)_predictions_20",113.74314498901367,723.4789721660144,1058402.9677243936,1028.7871343112693
"Census_arima(2,0,2)_predictions_20",13.358272552490234,706.735826417757,1064595.7250391573,1031.7924815771617
"Census_arima(4,1,1)_predictions_20",38.10145139694214,726.4585435988831,1068727.2560212498,1033.7926562039652
"Census_arima(3,1,1)_predictions_20",18.516417503356934,732.2043979723911,1083317.2355334074,1040.8252665713912
"Census_arima(4,1,2)_predictions_20",40.06878614425659,733.2126991569687,1086731.583698775,1042.4641882092521
"Census_arima(2,0,1)_predictions_20",9.586821794509888,721.594608684403,1087232.0424156925,1042.7041969876655
"Census_arima(4,0,1)_predictions_20",18.649678230285645,726.350923929909,1087802.4399589077,1042.977679511363
"Census_arima(1,1,1)_predictions_20",8.036241054534912,732.5767794650103,1095836.1232637528,1046.821915735314
"Census_arima(3,1,2)_predictions_20",31.603527545928955,739.127680428459,1106364.2803936948,1051.838523915955
"Census_arima(2,1,1)_predictions_20",13.2756667137146,742.1373600526565,1120907.2996813725,1058.7290964554495
"Census_arima(1,1,2)_predictions_20",18.18866467475891,747.4775963255438,1133744.7038917579,1064.7744849928354
