MSE,Model
55.012486568727226,"ARIMA(2,1,1)"
55.07543124549678,"ARIMA(2,0,1)"
55.09954414360444,"ARIMA(1,1,3)"
55.100979584941896,"ARIMA(5,1,2)"
55.10108483425449,"ARIMA(2,0,2)"
55.12897085670173,"ARIMA(1,1,1)"
55.19240249985809,"ARIMA(1,1,2)"
55.21502703090053,"ARIMA(2,1,2)"
55.4631948514053,"ARIMA(3,0,1)"
55.570087908414145,"ARIMA(4,1,2)"
55.591685023603176,"ARIMA(3,1,1)"
55.618345725067236,"ARIMA(4,0,2)"
55.861552227499224,"ARIMA(4,1,1)"
55.89635182808308,"ARIMA(3,0,2)"
56.101175565035916,"ARIMA(5,1,1)"
56.391974544309356,"ARIMA(3,1,2)"
57.058086101739725,"ARIMA(1,0,1)"
57.42837396287749,"ARIMA(4,1,0)"
57.46731651426514,"ARIMA(3,1,0)"
57.931151766045815,"ARIMA(5,1,0)"
58.34387481127199,"ARIMA(5,0,1)"
58.79880344689126,"ARIMA(5,1,3)"
58.91860994200949,"ARIMA(5,0,0)"
59.17721621275631,"ARIMA(3,0,0)"
59.18911073708253,"ARIMA(4,0,0)"
59.2507427700313,"ARIMA(2,0,0)"
59.48665362668632,"ARIMA(2,1,0)"
60.87601427718492,"ARIMA(1,0,0)"
61.28699344871838,"ARIMA(4,0,1)"
65.92788497424858,"ARIMA(1,1,0)"
80.20733135781667,"ARIMA(4,2,0)"
82.30397326249151,"ARIMA(5,2,0)"
89.7492880416261,"ARIMA(3,2,0)"
107.5999988965462,"ARIMA(2,2,0)"
143.75469456205164,"ARIMA(1,2,0)"
